source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,63700000.0,56.0,2.0,9.0,10.0,"москва, ул. кутузовский проспект, 4/2 (4 км до центра)",55.750732,37.562272,Киевская,10.0,22.5,ремонт по дизайн-проекту,кирпичные,2002.0,3.0,не угловая,"пассажирский, грузовой",4/2,двор,unknown,нет,https://msk.etagi.com/realty/11731494/,raw,0.85,geo_recomputed,3.34,11.47,0.09,0.06,0.29,0.39,1137500.0,0.9,24.0,1.0,10,0,original,10
studio,24000000.0,28.0,0.0,28.0,51.0,"москва, ул. мичуринский проспект, 56/3",55.696377,37.485277,Мичуринский проспект,10.0,6.0,unknown,монолитные,2020.0,3.0,не угловая,"пассажирский, грузовой",56/3,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/11821040/,raw,0.84,geo_recomputed,10.25,4.53,0.35,0.31,0.11,0.45,857142.8571428572,0.5490196078431373,6.0,1.0,0,0,original,0
all-losinoostrovskii,4150000.0,23.2,,1.0,5.0,"москва, ул. холмогорская, 3",55.879829,37.71857,Бабушкинская,42.0,10.0,косметический ремонт,кирпичные,1970.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10817057/,raw,3.53,geo_recomputed,15.58,0.5,0.18,0.08,0.25,0.13,178879.3103448276,0.2,56.0,0.0,9,0,original,9
all,4500000.0,57.5,2.0,1.0,5.0,"москва, ул. можайское шоссе, 11",55.720814,37.435951,Давыдково,14.0,7.2,косметический ремонт,кирпичные,2002.0,2.5,не угловая,"пассажирский, грузовой",11,двор,unknown,нет,https://msk.etagi.com/realty/12442706/,raw,1.16,geo_recomputed,11.78,3.11,0.34,0.42,0.09,0.23,78260.86956521739,0.2,24.0,1.0,0,0,original,0
3k,73000000.0,120.79,3.0,8.0,11.0,"набережная улица, район кунцево, рублёво, москва, центральный федеральный округ, 143405, россия",55.787831,37.343549,Павшино,37.0,29.0,черновая отделка,монолитно-кирпичный,2002.0,3.53,не угловая,"пассажирский, пассажирский и грузовой",,двор,unknown,есть,https://msk.etagi.com/realty/12145373/,geo,3.05,geo_recomputed,17.47,1.69,0.63,0.77,0.7,2.32,604354.6651212849,0.7272727272727273,24.0,0.0,2,0,original,2
all-gagarinskii,22900000.0,41.5,1.0,1.0,8.0,"москва, ул. строителей, 6к1",55.687543,37.535898,Вавиловская,6.0,15.0,современный ремонт,кирпич красный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10600390/,raw,0.5,geo_recomputed,8.75,6.98,0.19,0.09,0.29,0.42,551807.2289156626,0.125,24.0,1.0,15,0,original,15
1k,14200000.0,37.5,1.0,2.0,17.0,"москва, ул. юрловский проезд, 14к1 (14 км до центра)",55.877733,37.612919,Бибирево,11.0,9.0,косметический ремонт,монолитные,2010.0,2.68,не угловая,"пассажирский, грузовой",14к1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12643136/,raw,0.92,geo_recomputed,13.96,2.62,0.34,0.55,0.84,0.25,378666.6666666667,0.1176470588235294,16.0,1.0,9,0,original,9
all-krukovo,15000000.0,53.0,2.0,9.0,14.0,"ozon, к1432, улица александровка, 14-й микрорайон, район крюково, зеленоград, москва, центральный федеральный округ, 124617, россия",55.9892,37.154572,Крюково,19.0,9.0,косметический ремонт,блочные,2002.0,2.68,не угловая,unknown,к1432,двор,гостевой паркинг,нет,https://msk.etagi.com/realty/10780719/,geo,1.59,geo_recomputed,39.01,20.74,0.23,0.45,0.45,0.89,283018.8679245283,0.6428571428571429,24.0,0.0,14,0,original,14
all,15000000.0,44.7,2.0,8.0,12.0,"москва, ул. зарайская, 51к2",55.727972,37.777203,Плющево,4.0,6.0,требует ремонта / частичный ремонт,кирпичные,1971.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10247000/,raw,0.34,geo_recomputed,10.47,3.93,0.11,0.57,0.31,0.29,335570.4697986577,0.6666666666666666,55.0,1.0,12,0,original,12
2k,26000000.0,57.0,2.0,4.0,13.0,"москва, ул. варшавское шоссе, 16",55.693175,37.62077,Верхние Котлы,4.0,7.0,косметический ремонт,кирпичные,1958.0,2.5,не угловая,"пассажирский, грузовой",16,двор,unknown,нет,https://msk.etagi.com/realty/11932508/,raw,0.37,geo_recomputed,6.57,11.78,0.27,0.66,0.26,0.09,456140.350877193,0.3076923076923077,68.0,1.0,5,0,original,5
studio,15900000.0,24.0,0.0,24.0,33.0,"москва, ул. добролюбова, 8к3 (6 км до центра)",55.811407,37.597199,Бутырская ,5.0,9.0,чистовая отделка,монолитный железобетонный каркас,2002.0,2.68,не угловая,unknown,8к3,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12427219/,raw,0.41,geo_recomputed,6.68,9.97,0.43,0.42,0.26,0.4,662500.0,0.7272727272727273,24.0,1.0,6,0,original,6
all-konkovo,15000000.0,37.8,1.0,13.0,16.0,"москва, ул. миклухо-маклая, 27к1",55.649048,37.519072,Университет дружбы народов,9.0,8.0,требует ремонта / частичный ремонт,панельные,1981.0,2.7,не угловая,"пассажирский, грузовой",27к1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12287131/,raw,0.73,geo_recomputed,12.97,3.73,0.23,0.25,0.09,0.23,396825.39682539686,0.8125,45.0,1.0,15,0,original,15
4k,45000000.0,110.0,4.0,6.0,9.0,"москва, ул. фестивальная, 22к1",55.859721,37.499839,Грачёвская,15.0,11.0,косметический ремонт,панельные,1967.0,2.64,не угловая,"пассажирский, грузовой",22к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12583008/,raw,1.23,geo_recomputed,13.97,3.21,0.18,0.16,0.31,0.26,409090.9090909091,0.6666666666666666,59.0,1.0,21,0,original,21
all,25000000.0,60.0,2.0,2.0,14.0,"москва, ул. производственная, 12к1",55.644227,37.38878,Солнцево,7.0,12.0,unknown,монолитно-кирпичный,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11979032/,raw,0.55,geo_recomputed,18.61,3.37,0.19,0.08,0.26,0.62,416666.6666666667,0.1428571428571428,24.0,1.0,3,0,original,3
2k,8500000.0,50.7,2.0,5.0,17.0,"москва, ул. дудинка, 2к1 (11 км до центра)",55.862131,37.689608,Бабушкинская,22.0,10.0,косметический ремонт,панельные,1988.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/12000910/,raw,1.84,geo_recomputed,13.07,3.17,0.5,0.33,0.4,0.11,167652.85996055225,0.2941176470588235,38.0,0.0,9,0,original,9
all-yakimanka,30800000.0,60.0,3.0,10.0,10.0,"москва, ул. ленинский проспект, 3 (4 км до центра)",55.726142,37.608185,Октябрьская,5.0,8.0,евроремонт,панельные,1966.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10880831/,raw,0.39,geo_recomputed,2.93,12.87,0.35,0.4,0.28,0.23,513333.3333333333,1.0,60.0,1.0,20,0,original,20
all,47000000.0,79.8,2.0,22.0,73.0,"москва, ул. 5-й донской проезд, вл21к6",55.703043,37.592716,Площадь Гагарина,7.0,14.0,чистовая отделка,монолитно-кирпичный,2026.0,3.46,не угловая,unknown,вл21к6,парковка,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12265433/,raw,0.61,geo_recomputed,5.65,10.91,0.44,0.67,0.4,0.07,588972.4310776943,0.3013698630136986,0.0,1.0,20,0,original,20
all,22000000.0,67.0,3.0,1.0,5.0,"москва, ул. большая филёвская, 55к2",55.738591,37.467563,Пионерская,3.0,8.8,требует ремонта / частичный ремонт,кирпично-панельные,2002.0,2.73,не угловая,unknown,55к2,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12308875/,raw,0.29,geo_recomputed,9.39,5.68,0.43,0.11,0.52,0.22,328358.2089552239,0.2,24.0,1.0,0,0,original,0
3k,28900000.0,59.8,3.0,13.0,13.0,"москва, ул. шереметьевская, 21 (5 км до центра)",55.799851,37.615255,Марьина Роща,3.0,18.74,черновая отделка,монолитные,2002.0,2.68,не угловая,"грузовой, пассажирский, пассажирский и грузовой",21,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/11974186/,raw,0.21,geo_recomputed,5.3,10.98,0.45,0.15,0.21,0.07,483277.59197324415,1.0,24.0,1.0,6,0,original,6
all-savelovskii,16500000.0,23.9,0.0,13.0,19.0,"москва, ул. старый петровско-разумовский проезд, 1 (7 км до центра)",55.800959,37.564491,Гражданская,10.0,15.5,без отделки,монолитно-заливные,2025.0,2.68,не угловая,unknown,1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12590756/,raw,0.87,geo_recomputed,6.29,10.85,0.41,0.25,0.19,0.24,690376.569037657,0.6842105263157895,1.0,1.0,23,0,original,23
2k,28000000.0,42.0,2.0,5.0,5.0,"москва, ул. озёрная, 34к1",55.674148,37.449947,Озёрная,6.0,5.0,косметический ремонт,кирпичные,1964.0,2.64,не угловая,unknown,34к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12592754/,raw,0.48,geo_recomputed,13.53,1.53,0.19,0.21,0.46,0.15,666666.6666666666,1.0,62.0,1.0,0,0,original,0
all,11790000.0,32.0,0.0,5.0,25.0,"ароматный мир, улица лаптева, первый московский, филимонковский район, московский, москва, центральный федеральный округ, 142784, россия",55.598461,37.365415,Филатов луг,32.0,10.0,евроремонт,монолитно-заливные,2019.0,2.8,не угловая,"пассажирский, грузовой",9к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12476992/,geo,2.65,geo_recomputed,23.2,7.42,0.3,0.19,0.42,0.62,368437.5,0.2,7.0,0.0,22,0,original,22
2k,29000000.0,58.0,2.0,8.0,16.0,"москва, ул. гарибальди, 26 (10 км до центра)",55.67096,37.549759,Новые Черемушки,4.0,10.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,грузовой,26,парковка,подземный паркинг,нет,https://msk.etagi.com/realty/12149590/,raw,0.31,geo_recomputed,9.93,6.69,0.14,0.23,0.07,0.05,500000.0,0.5,24.0,1.0,15,0,original,15
1k,15795956.0,41.5,1.0,9.0,18.0,"москва, ул. полярная, 3",55.872344,37.63676,Бабушкинская,21.0,10.9,черновая отделка,газобетонные блоки,2025.0,2.68,не угловая,unknown,3,детская площадка,unknown,нет,https://msk.etagi.com/realty/12250481/,raw,1.73,geo_recomputed,13.42,2.8,0.42,0.32,0.24,0.23,380625.4457831325,0.5,1.0,0.0,9,0,original,9
all-koptevo,26000000.0,75.3,3.0,2.0,7.0,"москва, ул. космонавта волкова, 25/2 (9 км до центра)",55.816404,37.522513,Красный Балтиец,3.0,8.8,требует ремонта / частичный ремонт,блочные,1958.0,3.2,не угловая,"пассажирский, грузовой",25/2,двор,"парковка во дворе, наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12268726/,raw,0.26,geo_recomputed,9.21,8.13,0.17,0.45,0.64,0.74,345285.5245683931,0.2857142857142857,68.0,1.0,23,0,original,23
all,32067000.0,57.1,2.0,9.0,12.0,"москва, ул. 2-я брестская, 6/1 (2 км до центра)",55.770954,37.591442,Маяковская,4.0,24.84,черновая отделка,монолитно-каркасные,2018.0,3.0,не угловая,"пассажирский, грузовой",6/1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10319057/,raw,0.32,geo_recomputed,2.58,13.38,0.36,0.29,0.14,0.44,561593.6952714536,0.75,8.0,1.0,23,0,original,23
all,18200000.0,60.2,3.0,10.0,24.0,"москва, ул. новоостаповская, 20 (6 км до центра)",55.723759,37.686025,Волгоградский проспект,2.0,24.0,без отделки,монолитные,2002.0,2.68,не угловая,грузовой,20,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10894238/,raw,0.21,geo_recomputed,5.43,9.46,0.78,0.53,0.7,0.15,302325.5813953488,0.4166666666666667,24.0,1.0,18,0,original,18
3k,24000000.0,62.7,3.0,14.0,16.0,"москва, ул. юрьевский переулок, 16к1",55.765741,37.717321,Сортировочная,4.0,9.0,косметический ремонт,панели железобетонные,2002.0,2.68,не угловая,unknown,16к1,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12557854/,raw,0.32,geo_recomputed,6.54,7.87,0.4,0.05,0.09,0.06,382775.1196172249,0.875,24.0,1.0,7,0,original,7
